-6,-20,22
-15,21,-19
-1,25,-28
2,16,-26
0,3,-7
17,-25,24
16,-30,4
-20,7,13
1,12,-30
2,16,-29
-3,14,-17
7,-14,23
21,-23,-6
3,-30,26
-27,55,-6
-8,22,-27
7,10,-27
-7,10,-4
19,-34,44
25,-30,0
-22,0,24
-13,27,-17
-6,19,-22
1,12,-21
-13,11,7
24,-33,13
19,-18,5
-34,19,0
-13,11,-16
-2,12,-24
0,17,-17
-10,5,6
26,-35,20
10,-24,23
-42,42,-18
-4,14,-22
4,9,-25
6,11,-26
1,-20,30
32,-34,-8
-29,6,40
-19,26,-8
1,13,-27
4,10,-24
-8,14,26
19,-33,22
19,-28,-1
-38,23,4
-16,24,-14
7,16,-24
4,12,-24
4,-24,35
23,-24,-17
-8,-17,38
19,17,-70
14,2,-23
10,3,-32
-14,19,-2
16,-33,44
25,-29,0
-30,-3,23
-3,15,-31
-4,21,-25
-3,20,-3
14,-40,22
31,-38,3
-38,5,19
-3,27,-14
-5,24,-23
0,17,-8
0,-27,-1
36,-44,15
-32,6,23
-5,29,-24
0,17,-25
-4,13,-9
-1,-6,20
35,-41,-6
-3,-27,27
-10,28,-35
-10,25,-19
-1,23,-15
-3,16,-5
13,-37,19
25,-41,12
-41,22,10
-5,13,-22
-4,22,-25
0,14,-16
9,-24,30
33,-43,15
-38,4,16
-8,22,-17
-1,18,-20
-6,17,-22
5,-13,1
33,-44,3
-7,-26,26
-7,19,-37
3,18,-22
-4,22,-20
-11,12,13
31,-45,21
20,-41,8
-42,50,-4
-14,29,-16
1,22,-20
-3,15,-6
13,-29,17
30,-45,3
-32,6,25
-14,29,-14
-3,22,-24
-1,18,-7
-6,0,14
27,-38,26
16,-34,8
-39,34,8
-11,32,-15
10,8,-33
-6,13,-20
-4,1,17
30,-46,9
8,-26,25
-38,33,17
-9,31,-20
10,14,-30
-5,17,-7
6,-32,33
26,-45,13
-21,11,30
-12,22,-44
3,11,-35
-8,11,-27
2,-17,61
26,-38,-9
8,-28,34
-19,15,-40
-10,23,-23
-1,26,-19
-9,6,3
23,-33,8
22,-23,5
-20,-1,29
-7,14,-21
-3,21,-30
-5,28,-15
2,-15,37
36,-51,0
-17,2,52
-13,13,-30
-6,18,-32
-6,20,-14
6,-5,23
33,-46,8
-1,-21,29
-22,28,-19
-4,20,-44
-8,25,-21
12,-14,29
38,-43,19
-25,-14,36
-6,21,-26
-6,26,-28
-8,18,-20
10,-20,27
51,-48,23
-24,-6,25
-15,22,-43
-5,18,-25
-2,24,-9
13,-34,32
43,-47,15
-39,17,19
-11,16,-40
-10,25,-25
0,28,10
23,-35,29
41,-47,22
-54,42,31
-15,8,-34
1,17,-33
-5,26,-10
21,-46,23
38,-39,19
-43,23,26
-9,10,-38
-5,21,-23
3,13,-25
4,-32,46
37,-53,13
-29,13,24
-13,31,-21
1,20,-24
-4,17,-21
-6,2,21
46,-55,11
-5,-27,30
-25,54,-34
-10,23,-30
