0,6,11,11,-41,-41,30,30,21,-26,-39,-39,22,22,22,11,-25,-25,-19,24
-39,-39,22,22,22,11,-25,-25,-19,24,24,20,-27,-32,-27,32,32,29,-31,-31
24,20,-27,-32,-27,32,32,29,-31,-31,-27,22,25,22,-6,-26,-26,21,21,20
-27,22,25,22,-6,-26,-26,21,21,20,13,-24,-24,-4,27,27,6,-32,-32,26
13,-24,-24,-4,27,27,6,-32,-32,26,26,23,-10,-28,-28,0,23,23,-10,-24
26,23,-10,-28,-28,0,23,23,-10,-24,-24,28,28,24,-28,-28,-25,25,25,18
-24,28,28,24,-28,-28,-25,25,25,18,-4,-28,-28,27,27,25,-28,-28,-27,34
-4,-28,-28,27,27,25,-28,-28,-27,34,34,22,-22,-22,-13,30,30,-3,-33,-33
34,22,-22,-22,-13,30,30,-3,-33,-33,32,32,19,-14,-20,-20,-1,29,29,-29
32,32,19,-14,-20,-20,-1,29,29,-29,-30,-29,29,29,16,-21,-29,-29,24,24
-30,-29,29,29,16,-21,-29,-29,24,24,22,-21,-33,-33,32,32,19,-9,-27,-27
22,-21,-33,-33,32,32,19,-9,-27,-27,32,32,17,-26,-26,-25,26,26,19,-30
32,32,17,-26,-26,-25,26,26,19,-30,-30,-24,27,27,13,-22,-22,-13,27,27
-30,-24,27,27,13,-22,-22,-13,27,27,6,-14,-14,-8,24,24,-28,-28,-26,31
6,-14,-14,-8,24,24,-28,-28,-26,31,31,25,-28,-28,-12,21,21,-1,-20,-20
31,25,-28,-28,-12,21,21,-1,-20,-20,-2,26,26,-26,-33,-33,35,35,19,-23
-2,26,26,-26,-33,-33,35,35,19,-23,-23,-14,26,26,4,-33,-33,33,33,25
-23,-14,26,26,4,-33,-33,33,33,25,-26,-30,-26,33,33,-1,-27,-27,18,25
-26,-30,-26,33,33,-1,-27,-27,18,25,25,-25,-28,-25,28,28,-6,-26,-26,5
25,-25,-28,-25,28,28,-6,-26,-26,5,26,26,-25,-30,-25,33,33,6,-19,-19
26,26,-25,-30,-25,33,33,6,-19,-19,-12,25,25,-29,-29,-20,28,28,-12,-29
-12,25,25,-29,-29,-20,28,28,-12,-29,-29,38,38,16,-27,-33,-27,35,35,-16
-29,38,38,16,-27,-33,-27,35,35,-16,-35,-35,37,37,21,-30,-30,1,33,33
-35,-35,37,37,21,-30,-30,1,33,33,-20,-29,-29,37,37,13,-24,-24,0,22
-20,-29,-29,37,37,13,-24,-24,0,22,22,-25,-25,-18,29,29,-30,-31,-31,33
22,-25,-25,-18,29,29,-30,-31,-31,33,33,-3,-29,-29,11,25,25,-19,-30,-19
33,-3,-29,-29,11,25,25,-19,-30,-19,34,34,-8,-26,-26,33,33,14,-27,-27
34,34,-8,-26,-26,33,33,14,-27,-27,-3,26,26,-32,-32,-26,29,29,-15,-32
-3,26,26,-32,-32,-26,29,29,-15,-32,-32,40,40,13,-35,-35,27,27,15,-34
-32,40,40,13,-35,-35,27,27,15,-34,-34,34,34,17,-25,-27,-25,28,28,-26
-34,34,34,17,-25,-27,-25,28,28,-26,-26,-23,38,38,-7,-34,-34,32,32,4
-26,-23,38,38,-7,-34,-34,32,32,4,-34,-34,42,42,17,-43,-43,47,47,11
-34,-34,42,42,17,-43,-43,47,47,11,-36,-36,42,42,21,-34,-34,15,22,22
-36,-36,42,42,21,-34,-34,15,22,22,22,-31,64,30,30,-8,-34,-34,40,40
22,-31,64,30,30,-8,-34,-34,40,40,-7,-34,-34,23,23,-12,-36,-36,30,30
-7,-34,-34,23,23,-12,-36,-36,30,30,-19,-37,-37,28,28,-18,-18,-5,17,17
-19,-37,-37,28,28,-18,-18,-5,17,17,-31,-31,0,20,20,-27,-31,-31,26,26
-31,-31,0,20,20,-27,-31,-31,26,26,-4,-31,-31,31,31,16,-37,-37,42,42
-4,-31,-31,31,31,16,-37,-37,42,42,20,-31,-31,37,37,26,-35,-35,34,34
20,-31,-31,37,37,26,-35,-35,34,34,22,-30,-30,11,27,27,-31,-31,-19,22
22,-30,-30,11,27,27,-31,-31,-19,22,22,-10,-31,-31,31,31,8,-35,-35,36
22,-10,-31,-31,31,31,8,-35,-35,36,36,23,-32,-32,0,30,30,-29,-29,-17
36,23,-32,-32,0,30,30,-29,-29,-17,30,30,-8,-32,-32,33,33,10,-25,-25
30,30,-8,-32,-32,33,33,10,-25,-25,1,22,22,-24,-24,-19,34,34,-25,-25
1,22,22,-24,-24,-19,34,34,-25,-25,-23,34,34,1,-22,-22,29,29,29,-26
-23,34,34,1,-22,-22,29,29,29,-26,-26,10,32,32,-30,-30,-2,27,27,-31
-26,10,32,32,-30,-30,-2,27,27,-31,-31,5,25,25,-34,-34,-10,29,29,-30
-31,5,25,25,-34,-34,-10,29,29,-30,-30,-20,28,28,-21,-26,-26,35,35,5
-30,-20,28,28,-21,-26,-26,35,35,5,-31,-31,35,35,8,-35,-35,34,34,10
-31,-31,35,35,8,-35,-35,34,34,10,-35,-35,35,35,3,-26,-26,33,33,22
-35,-35,35,35,3,-26,-26,33,33,22,-36,-36,42,42,23,-32,-32,38,38,27
-36,-36,42,42,23,-32,-32,38,38,27,-39,-39,10,30,30,-38,-38,2,26,26
-39,-39,10,30,30,-38,-38,2,26,26,-22,-22,-5,27,27,-36,-36,-18,23,23
-22,-22,-5,27,27,-36,-36,-18,23,23,-17,-17,-1,28,28,-34,-34,21,28,28
-17,-17,-1,28,28,-34,-34,21,28,28,-37,-37,-12,27,27,-29,-31,-29,24,24
-37,-37,-12,27,27,-29,-31,-29,24,24,-20,-23,-23,34,34,-6,-27,-27,41,41
-20,-23,-23,34,34,-6,-27,-27,41,41,-16,-21,-21,24,24,-35,-35,4,24,24
-16,-21,-21,24,24,-35,-35,4,24,24,-32,-32,-26,40,40,-36,-36,-12,35,35
-32,-32,-26,40,40,-36,-36,-12,35,35,-29,-29,5,28,28,-25,-25,-21,21,21
-29,-29,5,28,28,-25,-25,-21,21,21,-23,-23,-15,36,36,8,-28,-28,37,37
-23,-23,-15,36,36,8,-28,-28,37,37,10,-23,-23,10,25,25,-26,-26,-16,36
10,-23,-23,10,25,25,-26,-26,-16,36,36,-27,-30,-27,34,34,-3,-27,-27,41
36,-27,-30,-27,34,34,-3,-27,-27,41,41,15,-21,-21,3,28,28,-19,-19,-9
41,15,-21,-21,3,28,28,-19,-19,-9,26,26,-20,-22,-20,29,29,-24,-33,-33
26,26,-20,-22,-20,29,29,-24,-33,-33,30,30,-11,-28,-28,41,41,26,-26,-26
30,30,-11,-28,-28,41,41,26,-26,-26,9,24,24,-32,-32,-24,29,29,-26,-26
9,24,24,-32,-32,-24,29,29,-26,-26,-23,32,32,-27,-27,-25,27,27,-15,-32
-23,32,32,-27,-27,-25,27,27,-15,-32,-32,29,29,-29,-32,-32,30,30,-31,-33
-32,29,29,-29,-32,-32,30,30,-31,-33,-31,29,29,-18,-24,-24,30,30,-28,-30
-31,29,29,-18,-24,-24,30,30,-28,-30,-30,27,27,-25,-29,-25,30,30,-20,-27
-30,27,27,-25,-29,-25,30,30,-20,-27,-27,36,36,7,-23,-23,38,38,8,-25
-27,36,36,7,-23,-23,38,38,8,-25,-25,32,32,13,-23,-23,14,22,22,-24
-25,32,32,13,-23,-23,14,22,22,-24,-24,23,24,24,-26,-26,23,23,11,-36
-24,23,24,24,-26,-26,23,23,11,-36,-36,35,35,-15,-26,-26,34,34,-34,-34
-36,35,35,-15,-26,-26,34,34,-34,-34,3,25,25,-27,-27,-19,30,30,-32,-32
3,25,25,-27,-27,-19,30,30,-32,-32,47,47,29,-22,-22,-21,29,29,-18,-28
47,47,29,-22,-22,-21,29,29,-18,-28,-28,36,36,9,-30,-30,32,32,14,-29
-28,36,36,9,-30,-30,32,32,14,-29,-29,36,36,4,-40,-40,25,25,-24,-24
-29,36,36,4,-40,-40,25,25,-24,-24,40,40,8,-6,-6,4,4,2,-2,-1
40,40,8,-6,-6,4,4,2,-2,-1,-1,0,0,2,-2,-5,-5,6,6,-4
-1,0,0,2,-2,-5,-5,6,6,-4,-4,1,8,8,-1,-6,-6,7,7,2
-4,1,8,8,-1,-6,-6,7,7,2,-8,-8,-12,1,-3,-3,-3,-2,11,11
-8,-8,-12,1,-3,-3,-3,-2,11,11,5,-6,-6,9,9,7,-9,-9,6,7
5,-6,-6,9,9,7,-9,-9,6,7,7,-8,-8,0,8,8,-6,-6,1,5
7,-8,-8,0,8,8,-6,-6,1,5,5,-10,-10,8,8,7,-7,-7,1,1
5,-10,-10,8,8,7,-7,-7,1,1,1,0,0,1,6,6,-7,-7,5,5
1,0,0,1,6,6,-7,-7,5,5,-10,-10,10,10,-1,-8,-8,8,8,0
-10,-10,10,10,-1,-8,-8,8,8,0,-8,-8,13,13,0,-8,-8,11,11,2
-8,-8,13,13,0,-8,-8,11,11,2,-9,-9,2,12,12,-6,-6,-2,11,11
-9,-9,2,12,12,-6,-6,-2,11,11,-6,-9,-9,9,9,6,-13,-13,6,12
-6,-9,-9,9,9,6,-13,-13,6,12,12,-8,-8,-5,15,15,0,-15,-15,9
12,-8,-8,-5,15,15,0,-15,-15,9,9,7,-2,-10,-10,8,8,4,-5,-5
9,7,-2,-10,-10,8,8,4,-5,-5,-5,13,13,0,-8,-8,9,9,1,-10
-5,13,13,0,-8,-8,9,9,1,-10,-10,8,8,1,-12,-12,3,8,8,-11
-10,8,8,1,-12,-12,3,8,8,-11,-11,-1,11,11,-1,-9,-9,12,12,0
-11,-1,11,11,-1,-9,-9,12,12,0,-13,-13,7,7,5,-7,-9,-9,8,8
-13,-13,7,7,5,-7,-9,-9,8,8,3,-16,-16,5,11,11,-13,-13,-4,10
3,-16,-16,5,11,11,-13,-13,-4,10,10,9,-16,-16,6,10,10,-12,-12,0
10,9,-16,-16,6,10,10,-12,-12,0,12,12,0,-8,-8,13,13,10,-14,-14
12,12,0,-8,-8,13,13,10,-14,-14,0,5,5,-8,-8,0,10,10,-7,-7
0,5,5,-8,-8,0,10,10,-7,-7,1,4,4,-12,-12,-4,15,15,-9,-9
1,4,4,-12,-12,-4,15,15,-9,-9,-9,17,17,0,-11,-11,10,10,5,-12
-9,17,17,0,-11,-11,10,10,5,-12,-12,1,9,9,-4,-6,-6,4,8,8
-12,1,9,9,-4,-6,-6,4,8,8,-11,-11,-4,12,12,0,-12,-12,4,8
-11,-11,-4,12,12,0,-12,-12,4,8,8,-8,-8,-1,7,7,-6,-10,-10,7
8,-8,-8,-1,7,7,-6,-10,-10,7,7,7,-9,-9,-1,9,9,4,-8,-8
7,7,-9,-9,-1,9,9,4,-8,-8,1,10,10,4,-12,-12,7,7,5,-11
1,10,10,4,-12,-12,7,7,5,-11,-11,1,8,8,-8,-8,-4,11,11,0
-11,1,8,8,-8,-8,-4,11,11,0,-9,-9,14,14,-3,-3,-3,16,16,-8
-9,-9,14,14,-3,-3,-3,16,16,-8,-8,-4,6,6,-5,-12,-12,13,13,4
-8,-4,6,6,-5,-12,-12,13,13,4,-13,-13,6,7,7,-9,-9,-2,13,13
-13,-13,6,7,7,-9,-9,-2,13,13,-8,-11,-11,10,10,2,-10,-10,3,7
-8,-11,-11,10,10,2,-10,-10,3,7,7,-2,-6,-6,10,10,8,-10,-10,0
7,-2,-6,-6,10,10,8,-10,-10,0,12,12,-1,-9,-9,7,9,9,-14,-14
12,12,-1,-9,-9,7,9,9,-14,-14,7,7,6,-12,-12,2,8,8,0,-14
7,7,6,-12,-12,2,8,8,0,-14,-14,6,7,7,-2,-8,-8,11,11,2
-14,6,7,7,-2,-8,-8,11,11,2,-12,-12,9,9,3,-13,-13,6,6,5
-12,-12,9,9,3,-13,-13,6,6,5,-14,-14,3,11,11,-12,-12,-1,9,9
-14,-14,3,11,11,-12,-12,-1,9,9,-4,-9,-9,11,11,5,-8,-8,4,9
-4,-9,-9,11,11,5,-8,-8,4,9,9,-9,-9,-3,12,12,0,-12,-12,8
9,-9,-9,-3,12,12,0,-12,-12,8,8,5,-14,-14,4,7,7,-15,-15,1
8,5,-14,-14,4,7,7,-15,-15,1,16,16,-5,-5,-5,14,14,-3,-6,-6
16,16,-5,-5,-5,14,14,-3,-6,-6,14,14,1,-16,-16,8,8,7,-9,-9
14,14,1,-16,-16,8,8,7,-9,-9,2,12,12,-4,-4,15,15,11,-2,-11
2,12,12,-4,-4,15,15,11,-2,-11,-11,13,13,1,-13,-13,3,10,10,-5
-11,13,13,1,-13,-13,3,10,10,-5,-5,-5,15,15,1,-18,-18,10,10,2
-5,-5,15,15,1,-18,-18,10,10,2,-15,-15,2,14,14,-9,-9,-2,16,16
-15,-15,2,14,14,-9,-9,-2,16,16,-9,-9,-1,15,15,-3,-9,-9,8,8
-9,-9,-1,15,15,-3,-9,-9,8,8,4,-16,-16,0,9,9,-2,-10,-10,6
4,-16,-16,0,9,9,-2,-10,-10,6,9,9,-9,-9,1,10,10,-9,-9,-2
9,9,-9,-9,1,10,10,-9,-9,-2,14,14,-10,-10,0,4,4,-14,-14,2
14,14,-10,-10,0,4,4,-14,-14,2,6,6,-5,-6,-6,14,14,0,-7,-7
6,6,-5,-6,-6,14,14,0,-7,-7,8,8,-2,-9,-9,15,15,0,-14,-14
8,8,-2,-9,-9,15,15,0,-14,-14,4,10,10,-6,-6,-6,12,12,-2,-7
4,10,10,-6,-6,-6,12,12,-2,-7,-7,14,14,0,-11,-11,2,12,12,-3
-7,14,14,0,-11,-11,2,12,12,-3,-12,-12,14,14,1,-10,-10,8,8,7
-12,-12,14,14,1,-10,-10,8,8,7,-3,-5,-5,12,12,1,-8,-8,4,4
-3,-5,-5,12,12,1,-8,-8,4,4,4,-10,-10,1,7,13,7,-8,-8,11
4,-10,-10,1,7,13,7,-8,-8,11,11,2,-11,-11,0,8,8,-2,-10,-10
11,2,-11,-11,0,8,8,-2,-10,-10,9,9,6,-6,-6,-6,14,14,0,-12
9,9,6,-6,-6,-6,14,14,0,-12,-12,11,11,10,-20,-20,14,14,3,-15
-12,11,11,10,-20,-20,14,14,3,-15,-15,-7,12,12,-4,-14,-14,-1,11,11
-15,-7,12,12,-4,-14,-14,-1,11,11,-2,-16,-16,15,15,4,-10,-10,0,7
-2,-16,-16,15,15,4,-10,-10,0,7,9,7,-6,-6,-6,15,15,-2,-11,-11
9,7,-6,-6,-6,15,15,-2,-11,-11,12,12,6,-11,-11,-1,12,12,-2,-12
12,12,6,-11,-11,-1,12,12,-2,-12,-12,4,7,7,-3,-7,-7,12,12,6
-12,4,7,7,-3,-7,-7,12,12,6,-12,-12,0,13,13,-6,-11,-11,12,12
-12,-12,0,13,13,-6,-11,-11,12,12,4,-17,-17,7,7,6,-3,-8,-8,9
4,-17,-17,7,7,6,-3,-8,-8,9,10,10,-19,-19,9,10,10,-15,-15,-2
10,10,-19,-19,9,10,10,-15,-15,-2,15,15,-6,-10,-10,14,14,2,-11,-11
15,15,-6,-10,-10,14,14,2,-11,-11,-1,13,13,-2,-11,-11,8,9,9,-12
-1,13,13,-2,-11,-11,8,9,9,-12,-12,0,12,12,3,-12,-12,8,21,21
-12,0,12,12,3,-12,-12,8,21,21,-13,-13,0,13,13,-5,-10,-10,9,9
-13,-13,0,13,13,-5,-10,-10,9,9,7,-7,-7,-6,9,9,5,-9,-9,-6
7,-7,-7,-6,9,9,5,-9,-9,-6,14,14,3,-15,-15,-1,15,15,-4,-13
14,14,3,-15,-15,-1,15,15,-4,-13,-13,7,10,10,-8,-8,-8,17,17,1
-13,7,10,10,-8,-8,-8,17,17,1,-16,-16,0,13,13,-1,-11,-11,5,8
-16,-16,0,13,13,-1,-11,-11,5,8,8,-11,-11,1,10,10,1,-12,-12,5
8,-11,-11,1,10,10,1,-12,-12,5,7,7,-2,-11,-11,10,10,4,-1,-8
7,7,-2,-11,-11,10,10,4,-1,-8,-8,14,14,2,-11,-11,0,12,12,-2
-8,14,14,2,-11,-11,0,12,12,-2,-7,-7,10,10,3,-12,-12,-4,13,13
-7,-7,10,10,3,-12,-12,-4,13,13,0,-7,-7,13,13,2,-12,-12,1,9
0,-7,-7,13,13,2,-12,-12,1,9,9,0,0,4,7,7,3,-7,-7,-4
9,0,0,4,7,7,3,-7,-7,-4,0,3,0,0,-2,-2,0,4,4,-11
0,3,0,0,-2,-2,0,4,4,-11,-11,-2,6,6,-9,-9,4,13,13,-6
-11,-2,6,6,-9,-9,4,13,13,-6,-6,3,14,14,-4,-4,11,13,13,4
-6,3,14,14,-4,-4,11,13,13,4,-3,-3,16,16,9,-17,-17,5,12,12
-3,-3,16,16,9,-17,-17,5,12,12,-13,-13,-6,11,11,-5,-5,17,17,17
-13,-13,-6,11,11,-5,-5,17,17,17,-14,-14,-5,6,6,-9,-9,-7,14,14
-14,-14,-5,6,6,-9,-9,-7,14,14,10,-19,-19,0,6,6,-6,-6,-6,11
10,-19,-19,0,6,6,-6,-6,-6,11,11,-2,-16,-16,11,11,4,-18,-18,15
11,-2,-16,-16,11,11,4,-18,-18,15,15,4,-20,-20,18,18,8,-15,-15,8
15,4,-20,-20,18,18,8,-15,-15,8,8,7,-12,-12,11,11,11,-16,-16,-4
8,7,-12,-12,11,11,11,-16,-16,-4,-2,-2,-11,-11,3,5,5,-11,-11,-10
-2,-2,-11,-11,3,5,5,-11,-11,-10,12,12,1,-21,-21,-3,4,4,-13,-13
12,12,1,-21,-21,-3,4,4,-13,-13,-3,9,9,-11,-11,-4,7,7,-17,-17
-3,9,9,-11,-11,-4,7,7,-17,-17,2,3,3,-13,-13,0,4,4,-7,-7
2,3,3,-13,-13,0,4,4,-7,-7,-5,6,6,-9,-9,1,7,7,-5,-18
-5,6,6,-9,-9,1,7,7,-5,-18,-18,13,13,2,-19,-19,10,10,2,-19
-18,13,13,2,-19,-19,10,10,2,-19,-19,11,11,-2,-5,-5,7,7,-1,-16
-19,11,11,-2,-5,-5,7,7,-1,-16,-16,8,8,-1,-16,-16,20,20,3,-18
-16,8,8,-1,-16,-16,20,20,3,-18,-18,19,19,4,-17,-17,17,17,-3,-7
-18,19,19,4,-17,-17,17,17,-3,-7,-7,12,12,-13,-13,0,4,4,-8,-8
-7,12,12,-13,-13,0,4,4,-8,-8,4,4,1,-10,-10,-10,8,8,-2,-14
4,4,1,-10,-10,-10,8,8,-2,-14,-14,24,24,4,-21,-21,8,8,-1,-1
-14,24,24,4,-21,-21,8,8,-1,-1,8,8,7,7,-7,-7,8,8,-6,-6
