0,8,8,-5,-5,-15,-9,-13,-9,-13,-11,-11,-4,-4,-4,7,7,7,-5,-5
-11,-11,-4,-4,-4,7,7,7,-5,-5,-7,-7,-7,4,0,0,-12,-12,-12,-7
-7,-7,-7,4,0,0,-12,-12,-12,-7,-7,-7,-13,-13,-3,-3,-3,-6,-6,-6
-7,-7,-13,-13,-3,-3,-3,-6,-6,-6,-6,-6,-6,-3,-3,-3,9,9,11,-9
-6,-6,-6,-3,-3,-3,9,9,11,-9,-9,-9,-5,-5,-5,-5,-11,-11,-11,-5
-9,-9,-5,-5,-5,-5,-11,-11,-11,-5,-11,-16,-16,-6,-6,-2,-10,-14,-14,-13
-11,-16,-16,-6,-6,-2,-10,-14,-14,-13,-2,-1,-2,-6,-10,-10,-10,16,-15,-15
-2,-1,-2,-6,-10,-10,-10,16,-15,-15,-15,4,4,7,-20,-5,-5,-2,-2,-2
-15,4,4,7,-20,-5,-5,-2,-2,-2,-3,-5,-5,-5,-3,-3,-3,-12,-12,-13
-3,-5,-5,-5,-3,-3,-3,-12,-12,-13,6,-2,-2,-9,-9,-9,4,4,4,-6
6,-2,-2,-9,-9,-9,4,4,4,-6,-6,-6,4,-6,-11,-11,-4,-1,4,-1
-6,-6,4,-6,-11,-11,-4,-1,4,-1,-11,-11,-4,-4,12,-5,-18,-18,3,3
-11,-11,-4,-4,12,-5,-18,-18,3,3,6,-6,-17,-17,7,7,7,-14,0,-8
6,-6,-17,-17,7,7,7,-14,0,-8,-4,-8,-4,-12,-12,-12,-7,0,-7,-1
-4,-8,-4,-12,-12,-12,-7,0,-7,-1,-12,-1,-3,6,-3,-2,-2,7,7,8
-12,-1,-3,6,-3,-2,-2,7,7,8,-3,-4,-4,-3,11,-3,-10,-10,-6,-6
-3,-4,-4,-3,11,-3,-10,-10,-6,-6,7,-2,-2,-5,-5,10,10,-7,-10,-7
7,-2,-2,-5,-5,10,10,-7,-10,-7,-6,5,4,4,-1,-1,-1,-4,-4,-9
-6,5,4,4,-1,-1,-1,-4,-4,-9,-3,-5,9,-5,-11,-11,1,1,1,-3
-3,-5,9,-5,-11,-11,1,1,1,-3,-5,-5,-2,6,-2,-14,-14,2,2,4
-5,-5,-2,6,-2,-14,-14,2,2,4,-9,-9,-9,3,10,3,-6,-6,-3,8
-9,-9,-9,3,10,3,-6,-6,-3,8,-3,-15,-15,-7,-7,8,-16,-6,-6,-1
-3,-15,-15,-7,-7,8,-16,-6,-6,-1,4,-1,-4,-8,-4,-8,9,8,8,6
4,-1,-4,-8,-4,-8,9,8,8,6,-6,5,5,5,-5,-5,-5,0,-6,-6
-6,5,5,5,-5,-5,-5,0,-6,-6,-6,-2,4,-2,-5,-5,-5,9,-5,-5
-6,-2,4,-2,-5,-5,-5,9,-5,-5,-5,-2,0,0,0,-8,-8,-8,0,-19
-5,-2,0,0,0,-8,-8,-8,0,-19,-9,-9,-1,-1,-1,-4,-4,0,0,4
-9,-9,-1,-1,-1,-4,-4,0,0,4,14,14,9,-11,9,-11,-6,-6,0,0
14,14,9,-11,9,-11,-6,-6,0,0,0,-5,-7,-7,-2,-1,4,4,1,-6
0,-5,-7,-7,-2,-1,4,4,1,-6,1,-6,4,5,5,9,3,3,3,-6
1,-6,4,5,5,9,3,3,3,-6,0,-6,-6,-6,-1,2,3,3,3,-4
0,-6,-6,-6,-1,2,3,3,3,-4,-4,-4,-7,-8,-8,-5,-3,-3,-6,-6
-4,-4,-7,-8,-8,-5,-3,-3,-6,-6,-6,-6,-8,-8,0,0,-6,-8,-8,-7
-6,-6,-8,-8,0,0,-6,-8,-8,-7,18,18,17,-1,-1,-1,0,-4,-4,-4
18,18,17,-1,-1,-1,0,-4,-4,-4,-5,2,-5,-7,-7,-7,0,-11,-1,-1
