Precision,Sensitivity
0.95789474,1
0.98684211,0.81521739
0.9673913,1
1,0.93478261
0.94594595,0.99056604
0.9125,0.96052632
0.94949495,1
0.95575221,1
1,1
1,0.96774194
0.98924731,0.9787234
1,1
1,1
1,1
