Precision,Sensitivity
0.95698925,0.97802198
0.98901099,0.97826087
0.97777778,0.98876404
0.98888889,0.9673913
0.99056604,0.99056604
0.96103896,0.97368421
0.95789474,0.96808511
0.99082569,1
1,0.98717949
1,0.96774194
0.96842105,0.9787234
1,1
0.98837209,1
1,0.98888889
