,Acc_x,Acc_y,Acc_z,Label
231,-25,57,-11,Painting
232,-25,37,-4,Painting
233,-10,21,-8,Painting
234,17,-39,9,Painting
235,49,-30,-18,Painting
236,-47,1,24,Painting
237,-24,36,8,Painting
238,-12,33,-12,Painting
239,-14,-20,6,Painting
240,48,-35,-6,Painting
241,25,-29,5,Painting
242,-54,37,28,Painting
243,-15,40,-11,Painting
244,-26,13,-5,Painting
245,30,-42,0,Painting
246,51,-24,-10,Painting
247,-61,0,12,Painting
248,-29,43,-6,Painting
249,-11,22,-12,Painting
250,-8,-25,8,Painting
251,60,-39,-2,Painting
252,-18,-18,4,Painting
253,-19,45,-25,Painting
254,-24,29,-5,Painting
255,-13,-30,17,Painting
256,66,-33,-5,Painting
257,18,-31,9,Painting
258,-14,56,-20,Painting
259,-20,33,-5,Painting
260,-21,-3,9,Painting
261,39,-33,-2,Painting
262,46,-29,0,Painting
263,-41,11,13,Painting
264,-26,46,-13,Painting
265,-12,25,-8,Painting
266,6,-34,8,Painting
267,52,-19,-19,Painting
268,9,-30,0,Painting
269,-26,69,-19,Painting
270,-19,34,-9,Painting
271,-21,-8,-1,Painting
272,57,-41,0,Painting
273,27,-26,-1,Painting
274,-47,51,-10,Painting
275,-21,33,-4,Painting
276,-19,14,0,Painting
277,26,-40,4,Painting
278,51,-27,-15,Painting
279,-49,-3,14,Painting
280,-26,39,14,Painting
281,-10,26,-17,Painting
282,0,-32,9,Painting
283,59,-34,-11,Painting
284,-8,-26,19,Painting
285,-8,50,-15,Painting
286,-9,29,-6,Painting
287,-18,-15,10,Painting
288,58,-42,0,Painting
289,27,-32,-5,Painting
290,-57,67,14,Painting
291,-18,40,-8,Painting
292,-22,13,-7,Painting
293,39,-43,-2,Painting
294,40,-35,-1,Painting
295,-62,27,13,Painting
296,-22,43,4,Painting
297,-17,15,-10,Painting
298,31,-43,1,Painting
299,41,-34,-6,Painting
300,-70,43,4,Painting
301,-15,34,-19,Painting
302,-21,17,5,Painting
303,17,-40,9,Painting
304,55,-25,-21,Painting
305,-21,-27,11,Painting
306,-8,56,3,Painting
307,-13,28,-9,Painting
308,-6,-26,8,Painting
309,61,-40,-6,Painting
310,-4,-23,0,Painting
311,-30,53,-6,Painting
312,-17,38,-15,Painting
313,-22,-7,-1,Painting
314,60,-46,2,Painting
315,19,-34,5,Painting
316,-29,61,3,Painting
317,-21,32,-8,Painting
318,-22,4,3,Painting
319,47,-43,-4,Painting
320,37,-34,-7,Painting
321,-54,42,14,Painting
322,-22,45,-8,Painting
323,-8,17,-11,Painting
324,26,-45,-5,Painting
325,37,-43,-3,Painting
326,-43,51,25,Painting
327,-28,47,-11,Painting
328,-15,11,-6,Painting
329,37,-47,5,Painting
330,40,-36,-6,Painting
331,-56,42,-9,Painting
332,-22,43,-8,Painting
333,-8,21,2,Painting
334,1,-34,0,Painting
335,54,-40,-6,Painting
336,-44,15,-11,Painting
337,-25,43,-8,Painting
338,-5,22,-7,Painting
339,-5,-31,18,Painting
340,-85,152,57,Painting
341,14,-38,17,Painting
342,-7,64,-9,Painting
343,-16,30,-1,Painting
344,-28,-8,7,Painting
345,58,-42,-11,Painting
346,18,-34,0,Painting
347,-39,55,-4,Painting
348,-19,40,-9,Painting
349,-13,-7,2,Painting
350,50,-39,-5,Painting
351,4,-34,11,Painting
352,-14,57,-28,Painting
353,-13,23,-7,Painting
354,-19,-12,17,Painting
355,49,-39,-25,Painting
356,17,-36,0,Painting
357,-9,75,-11,Painting
358,-20,30,-1,Painting
359,-20,-19,7,Painting
360,53,-39,-9,Painting
361,1,-37,21,Painting
362,-25,43,16,Painting
363,-10,28,-11,Painting
364,-10,-18,10,Painting
365,62,-44,-3,Painting
366,-51,-5,23,Painting
367,-24,45,-6,Painting
368,-5,17,-8,Painting
369,15,-47,20,Painting
370,47,-31,-13,Painting
371,-36,0,3,Painting
372,-16,31,-15,Painting
373,-8,20,2,Painting
374,-11,-27,9,Painting
375,52,-35,-15,Painting
376,-4,-31,8,Painting
377,0,47,3,Painting
378,-6,26,-11,Painting
379,-22,-4,10,Painting
380,55,-48,2,Painting
381,22,-31,5,Painting
382,-8,53,0,Painting
383,-14,31,-11,Painting
384,-19,16,1,Painting
385,47,-56,5,Painting
386,37,-37,-3,Painting
387,-35,48,10,Painting
388,-19,42,-9,Painting
389,-21,20,0,Painting
390,41,-57,3,Painting
391,38,-31,-12,Painting
392,-46,37,9,Painting
393,-24,45,-1,Painting
394,-21,26,-4,Painting
395,35,-62,8,Painting
396,47,-35,-3,Painting
397,-54,56,-7,Painting
398,-19,34,-5,Painting
399,-14,22,1,Painting
400,15,-42,3,Painting
401,55,-30,-14,Painting
402,-59,11,22,Painting
403,-26,34,-12,Painting
404,-3,27,-12,Painting
405,0,-36,11,Painting
406,53,-31,-13,Painting
407,-27,-19,14,Painting
408,-12,45,-16,Painting
409,-4,22,-17,Painting
410,-14,-10,18,Painting
411,56,-44,5,Painting
412,12,-31,6,Painting
413,-2,44,-24,Painting
414,-13,31,-14,Painting
415,-24,8,4,Painting
416,49,-49,5,Painting
417,32,-35,5,Painting
418,-33,48,-3,Painting
419,-21,36,-12,Painting
420,-15,23,-2,Painting
421,13,-47,12,Painting
422,55,-32,-15,Painting
423,-39,0,11,Painting
424,-15,35,-6,Painting
425,-13,30,-6,Painting
426,-9,-29,12,Painting
427,60,-37,-4,Painting
428,-10,-17,9,Painting
429,-7,40,-3,Painting
430,-18,30,-6,Painting
431,-25,-8,6,Painting
432,59,-44,-2,Painting
433,24,-32,0,Painting
434,-37,59,-12,Painting
435,-4,33,-8,Painting
436,-18,10,1,Painting
437,30,-45,4,Painting
438,48,-25,-20,Painting
439,-58,1,22,Painting
440,-21,44,-2,Painting
441,-7,22,-14,Painting
442,-6,-24,15,Painting
443,59,-44,-1,Painting
444,-18,-19,15,Painting
445,-7,37,-10,Painting
446,-11,34,-7,Painting
447,-16,-25,15,Painting
448,61,-40,-4,Painting
449,11,-23,13,Painting
450,-14,47,-17,Painting
451,-9,34,-12,Painting
452,-31,1,5,Painting
453,46,-52,-1,Painting
454,31,-22,-6,Painting
455,-45,29,-12,Painting
456,-20,36,-5,Painting
457,-23,29,0,Painting
458,21,-51,1,Painting
459,52,-26,-15,Painting
460,-50,10,-2,Painting
461,-22,36,3,Painting
462,-9,32,-12,Painting
463,19,-49,23,Painting
464,54,-30,-8,Painting
465,-44,-2,18,Painting
466,-22,36,-5,Painting
467,-5,27,-6,Painting
468,5,-52,22,Painting
469,59,-31,-21,Painting
470,-61,5,23,Painting
471,-18,28,-6,Painting
472,-11,25,-7,Painting
473,-7,-34,7,Painting
474,55,-34,-13,Painting
475,-28,-10,4,Painting
476,-28,34,0,Painting
477,-6,29,-7,Painting
478,-1,-33,21,Painting
479,41,-30,-6,Painting
480,-4,-20,12,Painting
481,-204,117,80,Painting
482,-9,28,-10,Painting
483,-12,-21,17,Painting
484,34,-30,2,Painting
485,15,-26,-5,Painting
486,-28,43,-21,Painting
487,-18,35,-10,Painting
488,-21,5,5,Painting
489,41,-41,2,Painting
490,28,-31,2,Painting
491,2,52,-40,Painting
492,-21,35,0,Painting
493,-27,8,2,Painting
494,57,-49,6,Painting
495,22,-35,16,Painting
496,-32,39,-14,Painting
497,-15,34,-10,Painting
498,-33,10,0,Painting
499,56,-47,2,Painting
500,27,-35,0,Painting
501,-26,48,-10,Painting
502,-14,35,-6,Painting
503,-30,3,5,Painting
504,55,-49,2,Painting
505,27,-26,-14,Painting
506,-41,65,12,Painting
507,-9,33,-8,Painting
508,-17,22,-10,Painting
509,38,-48,16,Painting
510,42,-36,-13,Painting
511,-56,42,-5,Painting
512,-19,45,-2,Painting
513,-14,23,-13,Painting
514,41,-63,11,Painting
515,38,-32,-9,Painting
516,-53,38,-6,Painting
517,-20,42,-7,Painting
518,-12,27,-12,Painting
519,11,-50,16,Painting
520,55,-39,-5,Painting
521,-49,10,2,Painting
522,-19,37,0,Painting
523,-17,30,-3,Painting
524,3,-38,5,Painting
525,49,-38,-9,Painting
526,-45,2,13,Painting
527,-15,38,0,Painting
528,-6,26,-13,Painting
529,-6,-22,8,Painting
530,54,-33,-18,Painting
531,-41,-5,7,Painting
532,-15,47,-16,Painting
533,-4,27,-6,Painting
534,-10,-37,19,Painting
535,59,-36,-9,Painting
536,-26,-18,8,Painting
537,-19,33,-1,Painting
538,-9,23,-1,Painting
539,-11,-17,0,Painting
540,46,-30,-12,Painting
541,-43,-1,18,Painting
542,-19,30,-8,Painting
543,-2,28,-13,Painting
544,-3,-39,20,Painting
545,47,-34,-9,Painting
546,-41,21,-3,Painting
547,-21,34,-7,Painting
548,2,28,-5,Painting
549,0,-50,26,Painting
550,60,-37,-18,Painting
551,-43,-12,23,Painting
552,-23,42,0,Painting
553,-5,27,-6,Painting
554,-3,-40,19,Painting
555,54,-29,-15,Painting
556,-17,-31,22,Painting
557,10,49,-8,Painting
558,-11,24,-4,Painting
559,-16,-20,11,Painting
560,51,-38,-6,Painting
561,7,-23,10,Painting
562,-4,35,-15,Painting
563,-5,34,-11,Painting
564,-18,-6,16,Painting
565,42,-41,-3,Painting
566,25,-27,4,Painting
567,-28,45,-31,Painting
568,-18,41,0,Painting
569,-18,-16,3,Painting
570,45,-37,-5,Painting
571,-7,-21,-5,Painting
572,-13,45,-12,Painting
573,-6,24,-5,Painting
574,-10,-35,25,Painting
575,57,-45,0,Painting
576,-35,4,18,Painting
