,Flex_1,Flex_2,Flex_3,Flex_4,Flex_5,Yaw,Pitch,Roll,Gesture
2383,-42.0,-40.0,-72.0,-66.0,-32.0,11.0,81.701881,-7.972611,Stop
2384,-40.0,-42.0,-72.0,-64.0,-32.0,11.0,81.947212,-7.759772,Stop
2385,-44.0,-48.0,-72.0,-66.0,-32.0,11.0,82.128548,-7.586983,Stop
2386,-44.0,-40.0,-72.0,-64.0,-32.0,11.0,82.357941,-7.46988,Stop
2387,-44.0,-48.0,-72.0,-66.0,-32.0,11.0,82.02352900000001,-7.843477,Stop
2388,-40.0,-40.0,-72.0,-66.0,-32.0,11.0,82.155602,-7.760274000000001,Stop
2389,-42.0,-40.0,-70.0,-66.0,-32.0,11.0,81.612892,-8.348322,Stop
2390,-48.0,-42.0,-74.0,-66.0,-32.0,11.0,81.530128,-8.419477,Stop
2391,-40.0,-40.0,-72.0,-64.0,-34.0,11.0,81.415283,-8.584154,Stop
2392,-40.0,-40.0,-72.0,-64.0,-32.0,11.0,80.578827,-9.391527,Stop
2393,-88.0,34.0,16.0,46.0,36.0,2.0,30.208345,55.228653,Thumbs Up
2394,-88.0,36.0,22.0,58.0,36.0,2.0,29.865026,55.43351,Thumbs Up
2395,-88.0,36.0,22.0,54.0,36.0,2.0,29.933704,55.412304000000006,Thumbs Up
2396,-88.0,38.0,22.0,54.0,40.0,2.0,29.784863,55.428986,Thumbs Up
2397,-82.0,36.0,22.0,54.0,36.0,2.0,29.899355,55.203762,Thumbs Up
2398,-80.0,40.0,16.0,54.0,36.0,2.0,29.310127,55.054016000000004,Thumbs Up
2399,-80.0,36.0,24.0,54.0,36.0,2.0,29.24625,55.350914,Thumbs Up
2400,-80.0,36.0,16.0,54.0,36.0,2.0,28.857645,55.383026,Thumbs Up
2401,-76.0,38.0,22.0,50.0,36.0,2.0,28.427846999999996,55.540218,Thumbs Up
2402,-72.0,38.0,20.0,52.0,40.0,2.0,28.043385999999998,55.815212,Thumbs Up
2403,-56.0,34.0,16.0,46.0,36.0,7.0,-13.341826000000001,-58.245810999999996,Thumbs Down
2404,-56.0,34.0,16.0,52.0,36.0,7.0,-13.17487,-58.119301,Thumbs Down
2405,-56.0,34.0,16.0,46.0,36.0,7.0,-13.899888,-58.427581999999994,Thumbs Down
2406,-56.0,32.0,16.0,46.0,34.0,7.0,-16.033266,-59.184368000000006,Thumbs Down
2407,-56.0,34.0,12.0,46.0,34.0,7.0,-15.596728,-59.150734,Thumbs Down
2408,-56.0,32.0,16.0,46.0,34.0,7.0,-15.634344,-59.239391000000005,Thumbs Down
2409,-48.0,34.0,16.0,54.0,36.0,7.0,-15.323175,-59.563316,Thumbs Down
2410,-56.0,34.0,16.0,46.0,36.0,7.0,-15.746552,-59.671036,Thumbs Down
2411,-50.0,36.0,16.0,46.0,34.0,6.0,-15.837154,-58.595703,Thumbs Down
